epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,568.83,0.75561,0.5764,1.11814,0.90219,0.80719,0.89266,0.66535,0.80755,0.66315,1.26269,0.000990365,0.000990365,0.000990365
43,582.125,0.7091,0.55007,1.09104,0.9101,0.82026,0.89636,0.64257,0.78902,0.62837,1.27818,0.000973861,0.000973861,0.000973861
44,595.238,0.74243,0.54905,1.11837,0.81664,0.84372,0.89434,0.65552,0.82415,0.65334,1.25284,0.000957358,0.000957358,0.000957358
45,608.719,0.72905,0.54821,1.10236,0.87227,0.81953,0.89748,0.67581,0.84785,0.66025,1.23566,0.000940855,0.000940855,0.000940855
46,621.634,0.72436,0.52005,1.09414,0.77472,0.85179,0.87098,0.64866,0.77678,0.66736,1.21654,0.000924352,0.000924352,0.000924352
47,628.129,0.73048,0.54648,1.11613,0.85784,0.84049,0.8877,0.66361,0.76485,0.61523,1.2363,0.000907848,0.000907848,0.000907848
48,634.659,0.72945,0.53706,1.10137,0.86955,0.90036,0.94423,0.70865,0.78333,0.55843,1.23205,0.000891345,0.000891345,0.000891345
49,664.351,0.69363,0.50019,1.07264,0.91556,0.88971,0.93676,0.71126,0.72558,0.56116,1.18266,0.000874842,0.000874842,0.000874842
50,677.785,0.69182,0.50976,1.07355,0.86359,0.86295,0.91368,0.70885,0.74228,0.59306,1.19085,0.000858338,0.000858338,0.000858338
51,690.984,0.68846,0.50587,1.07448,0.93854,0.86745,0.91664,0.68332,0.77363,0.5851,1.20623,0.000841835,0.000841835,0.000841835
52,704.079,0.69995,0.51167,1.07989,0.81704,0.86303,0.90734,0.6803,0.79134,0.60531,1.28405,0.000825332,0.000825332,0.000825332
53,717.532,0.69371,0.50674,1.08321,0.90972,0.82063,0.93127,0.67649,0.82689,0.5914,1.2637,0.000808828,0.000808828,0.000808828
54,730.335,0.70216,0.51799,1.08415,0.9107,0.88819,0.9306,0.70456,0.74669,0.56585,1.21035,0.000792325,0.000792325,0.000792325
55,742.22,0.68338,0.49477,1.07642,0.91187,0.88569,0.92092,0.69984,0.76252,0.56078,1.23026,0.000775822,0.000775822,0.000775822
56,754.134,0.6804,0.49785,1.07354,0.92309,0.91499,0.9454,0.71657,0.774,0.55116,1.22357,0.000759318,0.000759318,0.000759318
57,765.67,0.64639,0.47787,1.05906,0.89976,0.88405,0.91298,0.65689,0.76119,0.60806,1.21884,0.000742815,0.000742815,0.000742815
58,778.481,0.65536,0.48234,1.06759,0.94383,0.87698,0.93457,0.74665,0.69352,0.52273,1.14775,0.000726312,0.000726312,0.000726312
59,792.08,0.65804,0.47661,1.05024,0.95584,0.83697,0.9185,0.72406,0.71137,0.5784,1.16502,0.000709809,0.000709809,0.000709809
60,805.845,0.65774,0.47585,1.06222,0.90341,0.85198,0.92097,0.69228,0.74944,0.61132,1.19381,0.000693305,0.000693305,0.000693305
61,817.841,0.64712,0.46146,1.05126,0.91186,0.83391,0.92423,0.71637,0.7288,0.54791,1.18498,0.000676802,0.000676802,0.000676802
